Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Sex (2 categories) Code,Sex (2 categories),Observation
E14001278,Hemel Hempstead,1,Female,52284
E14001278,Hemel Hempstead,2,Male,51012
E14001279,Hendon,1,Female,67033
E14001279,Hendon,2,Male,63835
E14001280,Henley and Thame,1,Female,48335
E14001280,Henley and Thame,2,Male,46904
E14001281,Hereford and South Herefordshire,1,Female,48966
E14001281,Hereford and South Herefordshire,2,Male,47516
E14001282,Herne Bay and Sandwich,1,Female,51310
E14001282,Herne Bay and Sandwich,2,Male,47699
E14001283,Hertford and Stortford,1,Female,54140
E14001283,Hertford and Stortford,2,Male,51559
E14001284,Hertsmere,1,Female,54962
E14001284,Hertsmere,2,Male,50946
E14001285,Hexham,1,Female,47149
E14001285,Hexham,2,Male,44923
E14001286,Heywood and Middleton North,1,Female,51507
E14001286,Heywood and Middleton North,2,Male,48663
E14001287,High Peak,1,Female,46252
E14001287,High Peak,2,Male,44680
E14001288,Hinckley and Bosworth,1,Female,49812
E14001288,Hinckley and Bosworth,2,Male,48732
E14001289,Hitchin,1,Female,50486
E14001289,Hitchin,2,Male,48231
E14001290,Holborn and St Pancras,1,Female,55612
E14001290,Holborn and St Pancras,2,Male,50408
E14001291,Honiton and Sidmouth,1,Female,47750
E14001291,Honiton and Sidmouth,2,Male,43920
E14001292,Hornchurch and Upminster,1,Female,55639
E14001292,Hornchurch and Upminster,2,Male,51872
E14001293,Hornsey and Friern Barnet,1,Female,53664
E14001293,Hornsey and Friern Barnet,2,Male,49437
E14001294,Horsham,1,Female,52942
E14001294,Horsham,2,Male,50940
E14001295,Houghton and Sunderland South,1,Female,52124
E14001295,Houghton and Sunderland South,2,Male,48317
E14001296,Hove and Portslade,1,Female,52317
E14001296,Hove and Portslade,2,Male,49216
E14001297,Huddersfield,1,Female,56803
E14001297,Huddersfield,2,Male,55239
E14001298,Huntingdon,1,Female,54097
E14001298,Huntingdon,2,Male,53911
E14001299,Hyndburn,1,Female,47740
E14001299,Hyndburn,2,Male,46285
E14001300,Ilford North,1,Female,60629
E14001300,Ilford North,2,Male,58850
E14001301,Ilford South,1,Female,65376
E14001301,Ilford South,2,Male,65293
E14001302,Ipswich,1,Female,57741
E14001302,Ipswich,2,Male,57079
E14001303,Isle of Wight East,1,Female,36151
E14001303,Isle of Wight East,2,Male,33474
E14001304,Isle of Wight West,1,Female,36219
E14001304,Isle of Wight West,2,Male,34615
E14001305,Islington North,1,Female,57703
E14001305,Islington North,2,Male,52125
E14001306,Islington South and Finsbury,1,Female,60345
E14001306,Islington South and Finsbury,2,Male,55611
E14001307,Jarrow and Gateshead East,1,Female,48435
E14001307,Jarrow and Gateshead East,2,Male,45410
E14001308,Keighley and Ilkley,1,Female,50948
E14001308,Keighley and Ilkley,2,Male,48432
E14001309,Kenilworth and Southam,1,Female,47799
E14001309,Kenilworth and Southam,2,Male,45869
E14001310,Kensington and Bayswater,1,Female,69783
E14001310,Kensington and Bayswater,2,Male,63084
E14001311,Kettering,1,Female,56191
E14001311,Kettering,2,Male,54409
E14001312,Kingston and Surbiton,1,Female,59660
E14001312,Kingston and Surbiton,2,Male,55457
E14001313,Kingston upon Hull East,1,Female,52601
E14001313,Kingston upon Hull East,2,Male,50658
E14001314,Kingston upon Hull North and Cottingham,1,Female,57703
E14001314,Kingston upon Hull North and Cottingham,2,Male,57797
E14001315,Kingston upon Hull West and Haltemprice,1,Female,52676
E14001315,Kingston upon Hull West and Haltemprice,2,Male,52287
E14001316,Kingswinford and South Staffordshire,1,Female,45575
E14001316,Kingswinford and South Staffordshire,2,Male,42960
E14001317,Knowsley,1,Female,48925
E14001317,Knowsley,2,Male,44676
E14001318,Lancaster and Wyre,1,Female,49084
E14001318,Lancaster and Wyre,2,Male,47749
E14001319,Leeds Central and Headingley,1,Female,54801
E14001319,Leeds Central and Headingley,2,Male,51561
E14001320,Leeds East,1,Female,58001
E14001320,Leeds East,2,Male,54580
E14001321,Leeds North East,1,Female,49667
E14001321,Leeds North East,2,Male,46514
E14001322,Leeds North West,1,Female,47866
E14001322,Leeds North West,2,Male,44854
E14001323,Leeds South,1,Female,62545
E14001323,Leeds South,2,Male,61845
E14001324,Leeds South West and Morley,1,Female,48898
E14001324,Leeds South West and Morley,2,Male,46821
E14001325,Leeds West and Pudsey,1,Female,51153
E14001325,Leeds West and Pudsey,2,Male,49578
E14001326,Leicester East,1,Female,63342
E14001326,Leicester East,2,Male,61313
E14001327,Leicester South,1,Female,59874
E14001327,Leicester South,2,Male,58928
E14001328,Leicester West,1,Female,63244
E14001328,Leicester West,2,Male,61870
E14001329,Leigh and Atherton,1,Female,54669
E14001329,Leigh and Atherton,2,Male,53508
E14001330,Lewes,1,Female,49547
E14001330,Lewes,2,Male,45549
E14001331,Lewisham East,1,Female,61281
E14001331,Lewisham East,2,Male,55910
E14001332,Lewisham North,1,Female,61380
E14001332,Lewisham North,2,Male,55752
E14001333,Lewisham West and East Dulwich,1,Female,52679
E14001333,Lewisham West and East Dulwich,2,Male,46915
E14001334,Leyton and Wanstead,1,Female,59527
E14001334,Leyton and Wanstead,2,Male,57718
E14001335,Lichfield,1,Female,49123
E14001335,Lichfield,2,Male,47076
E14001336,Lincoln,1,Female,59239
E14001336,Lincoln,2,Male,58132
E14001337,Liverpool Garston,1,Female,49030
E14001337,Liverpool Garston,2,Male,45074
E14001338,Liverpool Riverside,1,Female,59574
E14001338,Liverpool Riverside,2,Male,58164
E14001339,Liverpool Walton,1,Female,52748
E14001339,Liverpool Walton,2,Male,49105
E14001340,Liverpool Wavertree,1,Female,52091
E14001340,Liverpool Wavertree,2,Male,50652
E14001341,Liverpool West Derby,1,Female,50559
E14001341,Liverpool West Derby,2,Male,46737
E14001342,Loughborough,1,Female,49382
E14001342,Loughborough,2,Male,51342
E14001343,Louth and Horncastle,1,Female,49430
E14001343,Louth and Horncastle,2,Male,47179
E14001344,Lowestoft,1,Female,48700
E14001344,Lowestoft,2,Male,45850
E14001345,Luton North,1,Female,58857
E14001345,Luton North,2,Male,56900
E14001346,Luton South and South Bedfordshire,1,Female,60739
E14001346,Luton South and South Bedfordshire,2,Male,62761
E14001347,Macclesfield,1,Female,49020
E14001347,Macclesfield,2,Male,46551
E14001348,Maidenhead,1,Female,53354
E14001348,Maidenhead,2,Male,50850
E14001349,Maidstone and Malling,1,Female,54632
E14001349,Maidstone and Malling,2,Male,54144
E14001350,Makerfield,1,Female,52048
E14001350,Makerfield,2,Male,51110
E14001351,Maldon,1,Female,51042
E14001351,Maldon,2,Male,48934
E14001352,Manchester Central,1,Female,59702
E14001352,Manchester Central,2,Male,62715
E14001353,Manchester Rusholme,1,Female,55387
E14001353,Manchester Rusholme,2,Male,55277
E14001354,Manchester Withington,1,Female,46362
E14001354,Manchester Withington,2,Male,44668
E14001355,Mansfield,1,Female,53478
E14001355,Mansfield,2,Male,51851
E14001356,Melksham and Devizes,1,Female,47656
E14001356,Melksham and Devizes,2,Male,45536
E14001357,Melton and Syston,1,Female,48256
E14001357,Melton and Syston,2,Male,46099
E14001358,Meriden and Solihull East,1,Female,51473
E14001358,Meriden and Solihull East,2,Male,47957
E14001359,Mid Bedfordshire,1,Female,50768
E14001359,Mid Bedfordshire,2,Male,48854
E14001360,Mid Buckinghamshire,1,Female,49606
E14001360,Mid Buckinghamshire,2,Male,48191
E14001361,Mid Cheshire,1,Female,47773
E14001361,Mid Cheshire,2,Male,46358
E14001362,Mid Derbyshire,1,Female,45273
E14001362,Mid Derbyshire,2,Male,42722
E14001363,Mid Dorset and North Poole,1,Female,49134
E14001363,Mid Dorset and North Poole,2,Male,46017
E14001364,Mid Leicestershire,1,Female,51734
E14001364,Mid Leicestershire,2,Male,49906
E14001365,Mid Norfolk,1,Female,48431
E14001365,Mid Norfolk,2,Male,47754
E14001366,Mid Sussex,1,Female,50749
E14001366,Mid Sussex,2,Male,47649
E14001367,Middlesbrough and Thornaby East,1,Female,55891
E14001367,Middlesbrough and Thornaby East,2,Male,55448
E14001368,Middlesbrough South and East Cleveland,1,Female,47829
E14001368,Middlesbrough South and East Cleveland,2,Male,44580
E14001369,Milton Keynes Central,1,Female,62988
E14001369,Milton Keynes Central,2,Male,62833
E14001370,Milton Keynes North,1,Female,50904
E14001370,Milton Keynes North,2,Male,48698
E14001371,Mitcham and Morden,1,Female,63286
E14001371,Mitcham and Morden,2,Male,60476
E14001372,Morecambe and Lunesdale,1,Female,50664
E14001372,Morecambe and Lunesdale,2,Male,47642
E14001373,New Forest East,1,Female,46631
E14001373,New Forest East,2,Male,44148
