Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Hyndburn,E14001299,30536.29786,15881.50938,0.657857397,0.342142603
Ilford North,E14001300,24615.94121,23095.62272,0.51593239,0.48406761
Ilford South,E14001301,21032.04719,24390.37398,0.463032279,0.536967721
Inverclyde and Renfrewshire West,S14000093,15895.77342,30025.1456,0.346155385,0.653844615
"Inverness, Skye and West Ross-shire",S14000094,21939.05202,32120.03773,0.405834655,0.594165345
Ipswich,E14001302,29867.30795,22774.85266,0.567364782,0.432635219
Isle of Wight East,E14001303,25396.46352,15021.84247,0.628340622,0.371659378
Isle of Wight West,E14001304,23776.53648,15185.15753,0.610254176,0.389745824
Islington North,E14001305,11873.69011,39686.08912,0.230289778,0.769710222
Islington South and Finsbury,E14001306,13821.50979,40146.36609,0.25610624,0.74389376
Jarrow and Gateshead East,E14001307,29367.75922,15848.24762,0.649499177,0.350500823
Keighley and Ilkley,E14001308,25557.8259,23176.88161,0.524427604,0.475572396
Kenilworth and Southam,E14001309,26923.25309,31165.64196,0.46348365,0.53651635
Kensington and Bayswater,E14001310,15118.24486,37146.95797,0.289260235,0.710739765
Kettering,E14001311,33825.34905,21872.93786,0.60729604,0.392703961
Kilmarnock and Loudoun,S14000040,18327.66571,28140.59152,0.394412591,0.60558741
Kingston and Surbiton,E14001312,22661.676,35071.99685,0.392520948,0.607479052
Kingston upon Hull East,E14001313,32914.62402,13479.84402,0.70945148,0.29054852
Kingston upon Hull North and Cottingham,E14001314,29321.04978,19702.3233,0.598103475,0.401896525
Kingston upon Hull West and Haltemprice,E14001315,34338.60872,17754.99976,0.659171244,0.340828756
Kingswinford and South Staffordshire,E14001316,35609.278,20431.96005,0.635412051,0.364587949
Knowsley,E14001317,20972.68407,19441.55581,0.51894293,0.48105707
Lancaster and Wyre,E14001318,23417.0161,21993.57524,0.515673005,0.484326995
Leeds Central and Headingley,E14001319,17178.19029,22997.47694,0.427576976,0.572423024
Leeds East,E14001320,28980.87115,21128.35284,0.57835402,0.42164598
Leeds North East,E14001321,17764.68281,31945.81808,0.35736278,0.64263722
Leeds North West,E14001322,23326.95132,31221.68828,0.427635803,0.572364197
Leeds South,E14001323,28211.25122,23845.18601,0.541935882,0.458064118
Leeds South West and Morley,E14001324,28435.53141,19463.90214,0.593650682,0.406349318
Leeds West and Pudsey,E14001325,23979.37841,21537.5842,0.526822904,0.473177096
Leicester East,E14001326,21975.1291,19981.82553,0.52375415,0.47624585
Leicester South,E14001327,18557.9031,25203.07636,0.424074217,0.575925783
Leicester West,E14001328,27458.9678,25795.09811,0.515621997,0.484378003
Leigh and Atherton,E14001329,33753.20506,18587.81137,0.644871028,0.355128972
Lewes,E14001330,28924.84241,30603.41524,0.485901042,0.514098958
Lewisham East,E14001331,17780.65184,29503.92555,0.376034911,0.623965089
Lewisham North,E14001332,11173.47934,34439.9584,0.244960255,0.755039745
Lewisham West and East Dulwich,E14001333,11398.57311,36700.63834,0.236980457,0.763019543
Leyton and Wanstead,E14001334,18679.19592,33748.22106,0.356286787,0.643713214
Lichfield,E14001335,33421.16589,24419.46419,0.577814693,0.422185307
Lincoln,E14001336,29546.09825,21732.82502,0.576184061,0.423815939
Liverpool Garston,E14001337,15488.57235,25065.18723,0.381926917,0.618073084
Liverpool Riverside,E14001338,19862.16828,25834.71584,0.434650385,0.565349615
Liverpool Walton,E14001339,23612.89069,21475.79954,0.52369875,0.476301251
Liverpool Wavertree,E14001340,14976.74772,31458.18558,0.32253191,0.67746809
Liverpool West Derby,E14001341,19402.66753,21620.2091,0.472971891,0.527028109
Livingston,S14000095,21182.54809,28035.29562,0.430383505,0.569616495
Llanelli,W07000098,26971.22086,21498.65168,0.556453307,0.443546693
Lothian East,S14000096,16583.86495,31389.18475,0.34569128,0.65430872
Loughborough,E14001342,24206.3164,23946.25154,0.502700426,0.497299574
Louth and Horncastle,E14001343,37904.02475,17920.14225,0.678989527,0.321010473
Lowestoft,E14001344,33430.35858,18458.38089,0.644270008,0.355729992
Luton North,E14001345,27824.8777,19132.20643,0.592559743,0.407440257
Luton South and South Bedfordshire,E14001346,25076.02815,21243.6916,0.541368305,0.458631695
Macclesfield,E14001347,26773.96466,30814.75586,0.464916817,0.535083183
